disabled_sensor,state_id,accuracy
4.0,6.0,0.8868543217154226
4.0,7.0,0.6886478080568721
4.0,8.0,0.01241108476585655
4.0,9.0,0.518212706879544
4.0,10.0,0.9270883452385359
4.0,11.0,0.9758076467101363
4.0,12.0,0.7816735745491207
4.0,13.0,0.9844446094446094
4.0,14.0,0.9630125274153377
4.0,15.0,0.008570056518045141
4.0,16.0,0.1255913660555884
4.0,17.0,0.42806577686011354
4.0,18.0,0.07108353151010702
4.0,19.0,0.55322165429243
4.0,20.0,0.7606699891332859
4.0,21.0,0.0017364318173421509
4.0,22.0,0.46302608180201543
4.0,23.0,0.000223563603845294
4.0,24.0,0.7807147623637577
4.0,25.0,0.4469711021256074
4.0,26.0,0.6986783162415312
4.0,27.0,0.20825906120023768
4.0,28.0,0.3133476617505373
5.0,0.0,0.2307041438124856
5.0,1.0,0.013721490821435194
5.0,2.0,0.9727994656375242
5.0,3.0,0.8112117484811212
5.0,4.0,0.2779901287712918
5.0,5.0,0.003468208092485549
5.0,6.0,0.8944808783435266
5.0,7.0,0.8347526658767772
5.0,8.0,0.021932424422050976
5.0,9.0,0.5494136129480107
5.0,10.0,0.8548058773455717
5.0,11.0,0.9876259632483699
5.0,12.0,0.6322766140174004
5.0,13.0,0.9586427086427086
5.0,14.0,0.9610423404334412
5.0,15.0,0.01617967566768867
5.0,16.0,0.051190124186871674
5.0,17.0,0.47824644200280214
5.0,18.0,0.08234244946492271
5.0,19.0,0.5575122187814797
5.0,20.0,0.8200247311425038
5.0,21.0,0.003509808992500092
5.0,22.0,0.4892560758743331
5.0,23.0,0.00014904240256352933
5.0,24.0,0.5951286423963817
5.0,25.0,0.542456504803947
5.0,26.0,0.6659879308429899
5.0,27.0,0.18051841948900774
5.0,28.0,0.3467353442525754
6.0,0.0,0.21535504078497153
6.0,1.0,0.0
6.0,2.0,0.9597372717826926
6.0,3.0,0.8677923142867793
6.0,4.0,0.3574052770252718
6.0,5.0,0.0028715271303374978
6.0,6.0,0.9349347874143394
6.0,7.0,0.7291172985781991
6.0,8.0,0.017005038529934794
6.0,9.0,0.6254795221219539
6.0,10.0,0.9441504126725637
6.0,11.0,0.9817723770005927
6.0,12.0,0.8066166311937568
6.0,13.0,0.9927234927234927
6.0,14.0,0.9759860228244304
6.0,15.0,0.005762624210409664
6.0,16.0,0.03145328208160852
6.0,17.0,0.5996239215397094
6.0,18.0,0.05818965517241379
6.0,19.0,0.5363951796440697
6.0,20.0,0.8200247311425038
