disabled_sensor,state_id,TPR
5.0,6,0.8826190057965924
5.0,7,0.6006020629509938
5.0,8,0.0
5.0,9,0.41132677479393775
5.0,10,0.874369413222409
5.0,11,0.9616914103923648
5.0,12,0.223444512892722
5.0,13,0.9656725555361203
5.0,14,0.989674731897545
5.0,15,0.09906410030019425
5.0,16,0.006609004213794633
5.0,17,0.9531994478336376
5.0,18,0.031373594631826866
5.0,19,0.9339755432392012
5.0,20,0.8293930839802399
6.0,0,0.0
6.0,1,0.9032900854625161
6.0,2,0.9223296722530959
6.0,3,0.0003941318151959711
6.0,4,0.25270489289938236
6.0,5,0.7775097583439323
6.0,6,0.9108115229228878
6.0,7,0.39970782239142943
6.0,8,0.6948534259218565
6.0,9,0.007887973056811132
6.0,10,0.03982653332153288
6.0,11,0.9642983386355602
6.0,12,0.9691542726392678
6.0,13,0.9164334441140458
6.0,14,0.9766019675618187
6.0,15,0.01138972276178704
6.0,16,0.026347305389221556
6.0,17,0.9332502115153404
6.0,18,0.8518864151446474
6.0,19,0.01020497932611947
6.0,20,0.7029816513761468
7.0,0,0.06488860252975685
7.0,1,0.8993490678829208
7.0,2,0.9345818929681005
7.0,3,0.7971534924458069
7.0,4,0.9208462919970213
7.0,5,0.8280338581641156
7.0,6,0.9154224486211137
7.0,7,0.82296693080703
7.0,8,0.6285325012086318
7.0,9,0.6862093414871931
7.0,10,0.9267191786883795
7.0,11,0.9682750088370449
7.0,12,0.9319281879785268
7.0,13,0.9424960643694246
7.0,14,0.9895861029867943
7.0,15,0.449938195302843
7.0,16,0.01752051452650255
7.0,17,0.9528432114708109
7.0,18,0.8104252766297827
7.0,19,0.9498548429664819
7.0,20,0.9055222300635145
8.0,0,0.0
8.0,1,0.5956693087720852
8.0,2,0.9268804970900976
8.0,3,0.1369827019925553
8.0,4,0.8482631740330282
8.0,5,0.16398403578790405
8.0,6,0.9027314245564728
8.0,7,0.5873655318960556
8.0,8,0.3999912099503362
8.0,9,0.015465744925994859
8.0,10,0.2986104965041154
8.0,11,0.9611611876988335
8.0,12,0.9542814397606266
8.0,13,0.9345373447612384
8.0,14,0.9904723920943012
8.0,15,0.07010418506092177
8.0,16,0.7331559104014194
8.0,17,0.9470989001202298
8.0,18,0.7234590943429765
8.0,19,0.18434943256795988
8.0,20,0.9007586450247
9.0,0,0.6860693818033843
9.0,1,0.9094894389585086
9.0,2,0.9072331860149652
9.0,3,0.9290562732647252
9.0,4,0.9363528844890271
9.0,5,0.9118459716679093
9.0,6,0.9181890040400492
9.0,7,0.9063703572535304
9.0,8,0.9490177119500726
9.0,9,0.8990073561995923
9.0,10,0.9301708115762457
9.0,11,0.9651378579003181
9.0,12,0.952477338730969
9.0,13,0.9281528773832429
9.0,14,0.9879464681379065
9.0,15,0.8339219494967332
9.0,16,0.9584830339321357
9.0,17,0.9538228614685844
9.0,18,0.9037017286584011
9.0,19,0.9549573326295416
9.0,20,0.940984474241355
10.0,0,0.0
10.0,1,0.7836425629898597
10.0,2,0.9222421563908458
10.0,3,0.0
10.0,4,0.025362477550484035
10.0,5,0.20630674093241524
10.0,6,0.8954417705954681
10.0,7,0.10416574438886184
10.0,8,0.6949852766668132
10.0,9,0.020517592838784012
10.0,10,0.02305513762279848
10.0,11,0.187124425592082
10.0,12,0.9086508844495291
10.0,13,0.9182263424873185
10.0,14,0.7353983869538243
10.0,15,0.0002207310612749426
10.0,16,0.1391439343535152
10.0,17,0.9446052455804427
10.0,18,0.9161000755454828
10.0,19,0.15998064572886425
10.0,20,0.8358327452364149
11.0,0,0.34283970294007937
11.0,1,0.887481734047735
11.0,2,0.9362446943508511
11.0,3,0.9236698051237135
11.0,4,0.9296508826492619
11.0,5,0.9021095565983948
11.0,6,0.9165202880730722
11.0,7,0.886139271326752
11.0,8,0.10504109348217817
11.0,9,0.8137463440574315
11.0,10,0.8977785644747323
11.0,11,0.9655355249204666
11.0,12,0.9493971662413095
11.0,13,0.9377733076788526
11.0,14,0.9888327572454134
11.0,15,0.6797633763023133
11.0,16,0.09332446218673764
11.0,17,0.953778331923231
11.0,18,0.8167799848909034
11.0,19,0.9475235330342219
11.0,20,0.9315455187014821
12.0,0,0.0
12.0,1,0.002036930434397556
